first_name,last_name,wins,losses,draws,weight_class,title_holder,fighter_status
Cris,Cyborg,20.0,1.0,0.0,Women_Featherweight,True,Active
Nicco,Montano,5.0,2.0,0.0,Women_Flyweight,True,Active
Demetrious,Johnson,27.0,2.0,1.0,Flyweight,True,Active
TJ,Dillashaw,16.0,3.0,0.0,Bantamweight,True,Active
Max,Holloway,19.0,3.0,0.0,Featherweight,True,Active
Khabib,Nurmagomedov,26.0,0.0,0.0,Lightweight,True,Active
Tyron,Woodley,18.0,3.0,1.0,Welterweight,True,Active
Robert,Whittaker,21.0,4.0,0.0,Middleweight,True,Active
Daniel,Cormier,20.0,1.0,0.0,Light_Heavyweight,True,Active
Stipe,Miocic,18.0,2.0,0.0,Heavyweight,True,Active
Rose,Namajunas,9.0,3.0,0.0,Women_Strawweight,True,Active
Amanda,Nunes,16.0,4.0,0.0,Women_Bantamweight,True,Active
Gilbert,Melendez,22.0,7.0,0.0,Lightweight,False,Active
Court,McGee,19.0,6.0,1.0,Welterweight,False,Active
Paddy,Holohan,12.0,2.0,1.0,Flyweight,False,NotFighting
Justin,Willis,6.0,1.0,0.0,Heavyweight,False,Active
Mara,Romero Borella,12.0,5.0,0.0,Women_Flyweight,False,Active
JJ,Aldrich,6.0,2.0,0.0,Women_Strawweight,False,Active
Kalindra,Faria,18.0,7.0,1.0,,False,Active
Ricky,Rainey,13.0,5.0,0.0,Welterweight,False,Active
Tim,Kennedy,18.0,6.0,0.0,Middleweight,False,NotFighting
Brad,Tavares,17.0,5.0,0.0,Middleweight,False,Active
Pedro,Munhoz,15.0,3.0,0.0,Bantamweight,False,Active
Larissa,Pacheco,10.0,2.0,0.0,Women_Bantamweight,False,Active
Ashley,Yoder,5.0,4.0,0.0,Women_Strawweight,False,Active
Matt,Hughes,46.0,9.0,0.0,Welterweight,False,NotFighting
Kyle,Noke,22.0,10.0,1.0,Welterweight,False,NotFighting
Paul,Felder,15.0,3.0,0.0,Lightweight,False,Active
Joshua,Stansbury,8.0,5.0,0.0,Light_Heavyweight,False,Active
Desmond,Green,21.0,7.0,0.0,Lightweight,False,Active
Jason,Saggo,12.0,4.0,0.0,Lightweight,False,Active
Cynthia,Calvillo,6.0,1.0,0.0,Women_Strawweight,False,Active
Dan,Moret,13.0,5.0,0.0,Lightweight,False,Active
Cain,Velasquez,14.0,2.0,0.0,Heavyweight,False,Active
Alistair,Overeem,43.0,17.0,0.0,Heavyweight,False,Active
Jessica,Aguilar,19.0,6.0,0.0,Women_Strawweight,False,Active
Jamie,Moyle,4.0,2.0,0.0,Women_Strawweight,False,Active
Daniel,Spitz,6.0,2.0,0.0,Heavyweight,False,Active
Dan,Hooker,17.0,7.0,0.0,Lightweight,False,Active
Elias,Urbina,3.0,1.0,0.0,Light_Heavyweight,False,Active
Nadia,Kassem,5.0,0.0,0.0,Women_Strawweight,False,Active
Chris,Camozzi,24.0,13.0,0.0,Middleweight,False,Active
Khalil,Rountree Jr.,7.0,2.0,0.0,Light_Heavyweight,False,Active
Cindy,Dandois,8.0,3.0,0.0,Women_Bantamweight,False,Active
Nasrat,Haqparast,8.0,2.0,0.0,Lightweight,False,Active
Mitch,Clarke,11.0,5.0,0.0,Lightweight,False,Active
Ilir,Latifi,15.0,5.0,0.0,Light_Heavyweight,False,Active
Tonya,Evinger,19.0,6.0,0.0,Women_Featherweight,False,Active
Andre,Soukhamthath,12.0,6.0,0.0,Bantamweight,False,Active
Sheymon,Moraes,9.0,1.0,0.0,Featherweight,False,Active
Dong Hyun,Kim,22.0,4.0,1.0,Welterweight,False,Active
Michal,Oleksiejczuk,13.0,2.0,0.0,Light_Heavyweight,False,Active
Nathaniel,Wood,14.0,3.0,0.0,Bantamweight,False,Active
Luan,Chagas,15.0,2.0,1.0,Welterweight,False,Active
Salim,Touahri,10.0,2.0,0.0,Welterweight,False,Active
Josh,Emmett,13.0,2.0,0.0,Featherweight,False,Active
Cung,Le,9.0,3.0,0.0,Middleweight,False,NotFighting
Holly,Holm,12.0,4.0,0.0,Women_Featherweight,False,Active
Don,Madge,7.0,1.0,0.0,Lightweight,False,Active
Andrei,Arlovski,27.0,16.0,0.0,Heavyweight,False,Active
Ryan,Benoit,10.0,5.0,0.0,Flyweight,False,Active
Arnold,Allen,13.0,1.0,0.0,Featherweight,False,Active
Said,Nurmagomedov,11.0,1.0,0.0,Flyweight,False,Active
Davi,Ramos,8.0,2.0,0.0,Lightweight,False,Active
Jennifer,Maia,15.0,4.0,1.0,Women_Flyweight,False,Active
Sarah,Moras,5.0,4.0,0.0,Women_Bantamweight,False,Active
Jose,Aldo,26.0,4.0,0.0,Featherweight,False,Active
Marcelo,Guimaraes,9.0,2.0,1.0,Middleweight,False,Active
Renato,Moicano,12.0,1.0,1.0,Featherweight,False,Active
Deiveson,Figueiredo,14.0,0.0,0.0,Flyweight,False,Active
Vitor,Belfort,26.0,14.0,0.0,Middleweight,False,Active
Gina,Mazany,5.0,2.0,0.0,Women_Bantamweight,False,Active
Jordan,Rinaldi,13.0,6.0,0.0,Lightweight,False,Active
Darko,Stosic,12.0,1.0,0.0,Lightweight,False,Active
Hacran,Dias,23.0,6.0,1.0,Lightweight,False,Active
Roxanne,Modafferi,21.0,15.0,0.0,Women_Flyweight,False,Active
Lucie,Pudilova,8.0,2.0,0.0,Women_Bantamweight,False,Active
Hector,Aldana,4.0,0.0,0.0,Welterweight,False,Active
Julianna,Peña,9.0,3.0,0.0,Women_Bantamweight,False,Active
Magomed,Bibulatov,14.0,1.0,0.0,Flyweight,False,Active
Marcelo,Golm,6.0,1.0,0.0,Heavyweight,False,Active
Petr,Yan,8.0,1.0,0.0,Welterweight,False,Active
Rich,Franklin,29.0,7.0,0.0,Middleweight,False,NotFighting
Mark,Munoz,14.0,6.0,0.0,Middleweight,False,NotFighting
Mark,Hunt,13.0,12.0,1.0,Heavyweight,False,Active
Raquel,Pennington,9.0,7.0,0.0,Women_Bantamweight,False,Active
Tae Hyun,Bang,18.0,10.0,0.0,Lightweight,False,Active
Raoni,Barcelos,11.0,1.0,0.0,Bantamweight,False,Active
Kevin,Holland,13.0,3.0,0.0,Middleweight,False,Active
Duane,Ludwig,29.0,14.0,0.0,Welterweight,False,NotFighting
Mairbek,Taisumov,26.0,5.0,0.0,Lightweight,False,Active
Will,Santiago,9.0,5.0,0.0,Middleweight,False,Active
Jack,Hermansson,17.0,4.0,0.0,Middleweight,False,Active
Pearl,Gonzalez,6.0,2.0,0.0,Women_Strawweight,False,Active
Montel,Jackson,6.0,0.0,0.0,Bantamweight,False,Active
Royce,Gracie,13.0,2.0,2.0,Middleweight,False,NotFighting
Dennis,Bermudez,17.0,8.0,0.0,Featherweight,False,Active
Wilson,Reis,22.0,9.0,0.0,Flyweight,False,Active
Rico,DiSciullo,9.0,2.0,0.0,Bantamweight,False,Active
Patrick,Cummins,10.0,4.0,0.0,Light_Heavyweight,False,Active
Greg,Hardy,1.0,0.0,0.0,Heavyweight,False,Active
John,Dodson,21.0,9.0,0.0,Bantamweight,False,Active
Jessin,Ayari,16.0,4.0,0.0,Welterweight,False,Active
Austen,Lane,4.0,1.0,0.0,Heavyweight,False,Active
Bryan,Caraway,21.0,9.0,0.0,Bantamweight,False,Active
Derrick,Lewis,19.0,5.0,0.0,Heavyweight,False,Active
Rob,Font,15.0,3.0,0.0,Bantamweight,False,Active
