base_title,subtitle,title_tag_line,short_description,event_date,event_status,location,arena
UFC 232,Live on Pay-Per-View,TBA vs TBD,,2018-12-29T00:00:00Z,ANNOUNCED,"Las Vegas, Nevada",T-Mobile Arena
UFC Fight Night,Live on FOX,TBA vs TBD,,2018-12-15T00:00:00Z,ANNOUNCED,"Milwaukee, Wisconsin",Wisconsin Entertainment and Sports Center
UFC 231,Live on Pay-Per-View,TBA vs TBD,,2018-12-08T00:00:00Z,ANNOUNCED,"Toronto, Ontario",Scotiabank Arena
UFC Fight Night,Live on FS1,TBA vs TBD,,2018-12-01T00:00:00Z,ANNOUNCED,,Adelaide Entertainment Centre
The Ultimate Fighter Finale,Live on FS1,TBA vs TBD,,2018-11-30T00:00:00Z,ANNOUNCED,"Las Vegas, Nevada",The Pearl
UFC Fight Night,Live on UFC FIGHT PASS,TBA vs TBD,,2018-11-24T00:00:00Z,ANNOUNCED,,Cadillac Arena
UFC Fight Night,Live on FS1,TBA vs TBD,,2018-11-17T00:00:00Z,ANNOUNCED,,TBA
UFC Fight Night,Live on FS1,Edgar vs. Korean Zombie,,2018-11-10T00:00:00Z,FINALIZED,"Denver, CO",Pepsi Center
UFC 230,Live on Pay-Per-View,TBA vs TBD,,2018-11-03T00:00:00Z,FINALIZED,"New York, NY",Madison Square Garden
UFC Fight Night,Live on FS1,Volkan vs Smith,,2018-10-27T00:00:00Z,FINALIZED,"Moncton, New Brunswick",Moncton Events Centre
UFC 229,Live on Pay-Per-View,Khabib vs McGregor,,2018-10-06T00:00:00Z,FINALIZED,"Las Vegas, Nevada",T-Mobile Arena
UFC Fight Night,Live on FS1,Teixeira vs Manuwa,,2018-09-22T00:00:00Z,FINALIZED,,Ibirapuera Gymnasium
UFC Fight Night,Live on UFC FIGHT PASS,Hunt vs Oleinik,,2018-09-15T00:00:00Z,FINALIZED,,Olimpiysky
UFC 228,Live on Pay-Per-View,Woodley vs. Till,,2018-09-08T00:00:00Z,FINALIZED,"Dallas, Texas",American Airlines Center
UFC Fight Night,Live on FS1,Gaethje vs Vick,,2018-08-25T00:00:00Z,FINALIZED,"Lincoln, Nebraska",Pinnacle Bank Arena
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-08-07T00:00:00Z,FINALIZED,,
UFC 227,Live on Pay-Per-View,Dillashaw vs Garbrandt 2,,2018-08-04T00:00:00Z,FINALIZED,"Los Angeles, California",Staples Center
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-07-31T00:00:00Z,FINALIZED,,
UFC Fight Night,Live on FOX,Alvarez vs Poirier 2,,2018-07-28T00:00:00Z,FINALIZED,"Calgary, Alberta",Scotiabank Saddledome
Tuesday Night Contender Series,Las Vegas,Live on UFC FIGHT PASS,,2018-07-24T00:00:00Z,FINALIZED,,
UFC Fight Night,Live on FS1,Shogun vs Smith,,2018-07-22T00:00:00Z,FINALIZED,,Barclaycard Arena
